"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,130,234,177,286,99,286,297,200,169,11,Burgviertel,11,Burgviertel,20,0,13,30,0,10,15,34,23,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,130,234,177,286,99,286,297,200,169,11,Burgviertel,12,Geschäftsviertel,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,130,234,177,286,99,286,297,200,169,11,Burgviertel,13,Leonhard,0,0,0,81,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,130,234,177,286,99,286,297,200,169,11,Burgviertel,14,Peter,9,0,0,24,13,26,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,69,195,108,108,195,172,210,204,115,11,Burgviertel,21,St. Johann und Uni,11,0,0,13,0,0,15,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,69,195,108,108,195,172,210,204,115,11,Burgviertel,22,Spalen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,69,195,108,108,195,172,210,204,115,11,Burgviertel,23,Steinen,0,0,9,0,0,12,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,69,195,108,108,195,172,210,204,115,11,Burgviertel,24,Aeschen,0,0,0,0,9,20,25,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,69,195,108,108,195,172,210,204,115,11,Burgviertel,25,Alban,0,40,24,0,11,0,11,0,28,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,69,195,108,108,195,172,210,204,115,11,Burgviertel,26,Albantal,7,0,0,0,18,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,282,240,305,262,178,182,457,187,270,11,Burgviertel,31,St. Johann,35,13,11,45,0,0,60,0,9,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,282,240,305,262,178,182,457,187,270,11,Burgviertel,32,Spalen,18,10,23,9,18,35,54,19,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,282,240,305,262,178,182,457,187,270,11,Burgviertel,33,Steinen,17,64,18,0,37,40,19,8,10,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,282,240,305,262,178,182,457,187,270,11,Burgviertel,34,Markthalle,0,0,0,9,0,0,0,0,0,1,1
