"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,84,43,21,57,34,100,102,27,87,11,Burgviertel,11,Burgviertel,18,0,0,0,0,0,0,0,7,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,84,43,21,57,34,100,102,27,87,11,Burgviertel,12,Geschäftsviertel,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,84,43,21,57,34,100,102,27,87,11,Burgviertel,13,Leonhard,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,84,43,21,57,34,100,102,27,87,11,Burgviertel,14,Peter,0,0,0,10,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,69,53,45,88,68,104,101,72,11,Burgviertel,21,St. Johann und Uni,0,0,0,0,0,0,14,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,69,53,45,88,68,104,101,72,11,Burgviertel,22,Spalen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,69,53,45,88,68,104,101,72,11,Burgviertel,23,Steinen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,69,53,45,88,68,104,101,72,11,Burgviertel,24,Aeschen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,69,53,45,88,68,104,101,72,11,Burgviertel,25,Alban,0,0,18,0,8,0,0,0,41,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,69,53,45,88,68,104,101,72,11,Burgviertel,26,Albantal,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,127,155,182,84,104,59,175,101,71,11,Burgviertel,31,St. Johann,0,14,0,0,0,0,10,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,127,155,182,84,104,59,175,101,71,11,Burgviertel,32,Spalen,0,0,0,0,7,0,8,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,127,155,182,84,104,59,175,101,71,11,Burgviertel,33,Steinen,14,13,0,0,0,23,0,19,0,1,1
